z,H_over_Hrecon_minus_one,drain_source,d_transfer
0.0,0.0,3.386180850740419e-05,0.06905321572843
0.0008062497754249,0.0,3.404329683918931e-05,0.06905310309777
0.001613149589564,-1.1102230246251565e-16,3.4225711662696044e-05,0.06905299013697
0.002420699966483,2.220446049250313e-16,3.44090574603462e-05,0.06905287684523
0.003228901430713,-1.1102230246251565e-16,3.459333873716627e-05,0.06905276322173
0.004037754507198,0.0,3.4778560020309075e-05,0.06905264926565
0.004847259721294,0.0,3.4964725858557e-05,0.06905253497617
0.005657417598781,2.220446049250313e-16,3.515184082429532e-05,0.06905242035247
0.006468228665881,0.0,3.5339909512965e-05,0.06905230539374
0.007279693449215,0.0,3.5528936542138284e-05,0.06905219009913
0.008091812475856,0.0,3.5718926552049196e-05,0.06905207446784
0.008904586273279,0.0,3.59098842095273e-05,0.06905195849903
0.009718015369387,2.220446049250313e-16,3.610181420137526e-05,0.06905184219187
0.01053210029253,0.0,3.629472123882985e-05,0.06905172554553
0.01134684157146,2.220446049250313e-16,3.6488610056938614e-05,0.06905160855919
0.01216223973535,-2.220446049250313e-16,3.668348541617218e-05,0.069051491232
0.01297829531383,-1.1102230246251565e-16,3.6879352097368294e-05,0.06905137356314
0.01379500883695,-1.1102230246251565e-16,3.707621490761669e-05,0.06905125555176
0.01461238083515,0.0,3.727407868031656e-05,0.06905113719703
0.01543041183934,-1.1102230246251565e-16,3.7472948270370324e-05,0.06905101849811
0.01624910238086,2.220446049250313e-16,3.7672828559317545e-05,0.06905089945415
0.01706845299143,2.220446049250313e-16,3.787372445047056e-05,0.06905078006432
0.01788846420325,0.0,3.8075640875895406e-05,0.06905066032776
0.01870913654893,0.0,3.8278582791051375e-05,0.06905054024363
0.0195304705615,0.0,3.848255517475969e-05,0.06905041981109
0.02035246677443,0.0,3.868756303640568e-05,0.06905029902927
0.02117512572163,-1.1102230246251565e-16,3.889361140408218e-05,0.06905017789733
0.02199844793741,2.220446049250313e-16,3.910070533670183e-05,0.06905005641442
0.02282243395655,2.220446049250313e-16,3.930884991776111e-05,0.06904993457968
0.02364708431424,0.0,3.951805025697635e-05,0.06904981239226
0.02447239954608,0.0,3.972831148765697e-05,0.06904968985128
0.02529838018815,2.220446049250313e-16,3.993963877467092e-05,0.0690495669559
0.02612502677693,-1.1102230246251565e-16,4.015203730484761e-05,0.06904944370525
0.02695233984932,-1.1102230246251565e-16,4.03655122943639e-05,0.06904932009847
0.0277803199427,0.0,4.0580068985602015e-05,0.06904919613468
0.02860896759485,-1.1102230246251565e-16,4.079571264600026e-05,0.06904907181303
0.02943828334398,-2.220446049250313e-16,4.101244857342012e-05,0.06904894713264
0.03026826772874,0.0,4.123028209235518e-05,0.06904882209264
0.03109892128823,0.0,4.144921855290352e-05,0.06904869669216
0.03193024456196,0.0,4.166926333605186e-05,0.06904857093032
0.0327622380899,0.0,4.18904218479694e-05,0.06904844480625
0.03359490241243,0.0,4.211269952480329e-05,0.06904831831906
0.03442823807038,2.220446049250313e-16,4.233610182886644e-05,0.06904819146787
0.03526224560503,0.0,4.2560634254040306e-05,0.06904806425181
0.03609692555806,2.220446049250313e-16,4.27863023207618e-05,0.06904793666999
0.03693227847161,0.0,4.3013111578734814e-05,0.06904780872151
0.03776830488826,2.220446049250313e-16,4.3241067607170664e-05,0.0690476804055
0.03860500535103,2.220446049250313e-16,4.347017601290191e-05,0.06904755172105
0.03944238040335,0.0,4.370044243463428e-05,0.06904742266729
0.04028043058912,-1.1102230246251565e-16,4.393187253972896e-05,0.06904729324331
0.04111915645267,-2.220446049250313e-16,4.416447202365871e-05,0.06904716344822
0.04195855853875,-1.1102230246251565e-16,4.439824661499946e-05,0.06904703328111
