branch,P_geo_dense,sqrt_P_geo_dense,P_geo_0p01_0p30,sqrt_P_geo_0p01_0p30,sigma8_ratio,sigma8_minus_sqrt_Pgeo_dense,sigma8_minus_sqrt_Pgeo_band,tilt_dense_percent,k_min,k_max,n_k
reference,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.042057218102e-05,5.228027330134,119
Newtonian-gauge benchmark,0.9034713681787585,0.9505111089191743,0.8972622280428636,0.9472392665229116,0.949238909310511,-0.0012721996086633158,0.001999642787599454,15.393510304236969,1.042057218102e-05,5.228027330134,119
drain-only,0.8912574739218118,0.9440643378085054,0.8912252345230284,0.9440472628650688,0.944048087482667,-1.6250325838407242e-05,8.246175982051795e-07,0.3604805957930113,1.042057218102e-05,5.228027330134,119
B proxy,0.903168345417353,0.950351695646066,0.8972622564456525,0.9472392815153162,0.9492355917142163,-0.001116103931849688,0.0019963101989001197,15.43085645293889,1.042057218102e-05,5.228027330134,119
D proxy,0.9032842000957721,0.9504126472726319,0.897262085609253,0.9472391913393644,0.9492354776364024,-0.0011771696362294914,0.0019962862970379636,15.415986193764564,1.042057218102e-05,5.228027330134,119
